,Date,Underlying,Time_to_Expiration,Strike_Price,Option_Price,Risk_free,Implied_Volatility,Moneyness,Rounded_Time_to_Expiration
2,2024-11-12,584.82,0.0465434633812457,300.0,287.5,4.471,1.7044467008445985,0.5129783523135323,0.05
3,2024-11-14,577.16,0.0410677618069815,300.0,278.0,4.471,1.3397630974453332,0.5197865409938319,0.04
5,2024-11-18,554.4,0.0301163586584531,300.0,259.0,4.471,2.291522548667678,0.5411255411255411,0.03
7,2024-11-22,559.14,0.0191649555099247,300.0,259.6,4.471,1.8012094748505565,0.5365382551775941,0.02
11,2024-11-15,554.08,0.0383299110198494,330.0,234.08,4.471,2.1626216808911365,0.5955818654345942,0.04
15,2024-10-23,563.69,0.1013004791238877,350.0,229.72,4.471,1.4184953912222815,0.6209086554666572,0.1
16,2024-10-28,578.16,0.0876112251882272,350.0,229.96,4.471,0.7610682542035441,0.6053687560536876,0.09
17,2024-11-18,554.4,0.0301163586584531,350.0,210.33,4.471,1.9154965139267686,0.6313131313131314,0.03
21,2024-11-21,563.09,0.0219028062970568,360.0,208.98,4.471,2.19393265575993,0.6393294144808112,0.02
22,2024-11-22,559.14,0.0191649555099247,360.0,199.89,4.471,1.4502823286380842,0.643845906213113,0.02
19,2024-10-25,573.25,0.0958247775496235,360.0,216.3,4.471,0.8270287341601132,0.6279982555604012,0.1
23,2024-10-14,590.42,0.1259411362080766,370.0,223.7,4.471,0.6945950874569623,0.6266725381931507,0.13
24,2024-11-15,554.08,0.0383299110198494,370.0,186.24,4.471,1.161852415458092,0.6677736066993936,0.04
25,2024-11-22,559.14,0.0191649555099247,370.0,190.55,4.471,1.5739115714871235,0.6617305147190328,0.02
29,2024-11-15,554.08,0.0383299110198494,380.0,184.03,4.471,1.682884788256188,0.6858215420155933,0.04
30,2024-11-22,559.14,0.0191649555099247,380.0,179.5,4.471,0.9675070093566935,0.6796151232249527,0.02
32,2024-10-28,578.16,0.0876112251882272,395.0,187.45,4.471,0.8186470911722876,0.6832018818320189,0.09
38,2024-10-31,567.58,0.0793976728268309,400.0,178.75,4.471,1.1176751643889118,0.7047464674583318,0.08
41,2024-11-15,554.08,0.0383299110198494,400.0,158.17,4.471,1.1486814367697709,0.721917412647993,0.04
42,2024-11-18,554.4,0.0301163586584531,400.0,155.5,4.471,0.9225753106854331,0.7215007215007215,0.03
44,2024-10-25,573.25,0.0958247775496235,405.0,174.77,4.471,0.82859970015279,0.7064980375054514,0.1
46,2024-10-24,567.78,0.0985626283367556,410.0,160.85,4.471,0.5848857593993343,0.7221106766705414,0.1
45,2024-10-23,563.69,0.1013004791238877,410.0,172.6,4.471,1.1257871760593818,0.7273501392609413,0.1
50,2024-11-01,567.16,0.0766598220396988,420.0,153.73,4.471,0.8429061666143205,0.7405317723393752,0.08
58,2024-10-25,573.25,0.0958247775496235,430.0,148.45,4.471,0.6548938052572976,0.7501090274749237,0.1
59,2024-10-30,591.8,0.082135523613963,430.0,170.6,4.471,0.927181721303192,0.7265968232510984,0.08
